system_id,distribution,param_value,best_score_for_param
44139d543f5d4b9bb4e83525f4997f51,approximate_best_response,0.75,109.0
44139d543f5d4b9bb4e83525f4997f51,logit_response,0.0001,109.0
96045dc2da724592829177a39635262c,approximate_best_response,0.75,108.0
96045dc2da724592829177a39635262c,logit_response,0.0001,108.0
e7b2d361809748c68c71c753f0a6f6e8,approximate_best_response,0.75,94.0
e7b2d361809748c68c71c753f0a6f6e8,logit_response,0.0001,94.0
ebee824378f1425b909ed7fe6bda6b93,approximate_best_response,0.75,93.0
ebee824378f1425b909ed7fe6bda6b93,logit_response,0.0001,93.0
ffbb14306ea74f1295d91bf95ac59467,approximate_best_response,0.75,60.0
ffbb14306ea74f1295d91bf95ac59467,logit_response,0.0001,60.0
